event,rank,gal_index_in_event,catalog_id,ra_deg,dec_deg,catalog_z,catalog_z_err,weight_proxy,cumulative_weight_proxy,cumulative_weight_frac
GW200208_130117,1,2797,15591833,140.5188446044922,-34.417686462402344,0.22821900248527527,nan,0.23738987818977378,0.23738987818977378,0.0022184056158918645
GW200208_130117,2,4948,15595436,139.384765625,-33.301795959472656,0.2884800136089325,nan,0.21821102567593456,0.45560090386570834,0.004257585080915366
GW200208_130117,3,2555,15591591,140.8500213623047,-35.29524612426758,0.29904401302337646,nan,0.20678048847939245,0.6623813923451007,0.0061899463104570715
GW200208_130117,4,4901,15595389,138.9346160888672,-33.44009017944336,0.28541299700737,nan,0.20559333170224128,0.867974724047342,0.008111213573897701
GW200208_130117,5,4945,15595433,139.2908935546875,-33.21357727050781,0.2918280065059662,nan,0.20497384552666884,1.0729485695740109,0.010026691746323427
GW200208_130117,6,4916,15595404,138.96421813964844,-33.25311279296875,0.2693929970264435,nan,0.20368982819852943,1.2766383977725404,0.01193017079193984
GW200208_130117,7,4683,15595171,139.0516815185547,-33.713008880615234,0.2804020047187805,nan,0.2028158388932156,1.479454236665756,0.013825482417791253
GW200208_130117,8,3418,15592454,140.5186767578125,-34.20069122314453,0.27695798873901367,nan,0.19530380655153323,1.674758043217289,0.015650594189880462
GW200208_130117,9,4662,15595150,139.09703063964844,-33.8648796081543,0.26351600885391235,nan,0.1845740437327451,1.859332086950034,0.017375436454794814
GW200208_130117,10,2035,15589798,139.17584228515625,-34.320072174072266,0.28561899065971375,nan,0.1786795767255952,2.038011663675629,0.019045194994947758
GW200208_130117,11,4678,15595166,139.15084838867188,-33.594093322753906,0.293940007686615,nan,0.1779018582383839,2.215913521914013,0.02070768576499707
GW200208_130117,12,5402,15595890,139.96226501464844,-32.48329544067383,0.28716200590133667,nan,0.16675461679344183,2.3826681387074546,0.02226600569502685
GW200208_130117,13,4958,15595446,139.37704467773438,-33.28355026245117,0.29349300265312195,nan,0.16621102224479908,2.5488791609522536,0.023819245740401597
GW200208_130117,14,4713,15595201,139.2250213623047,-33.726783752441406,0.29170098900794983,nan,0.16435119249535066,2.7132303534476043,0.025355105698671363
GW200208_130117,15,3389,15592425,140.35910034179688,-34.04924774169922,0.26276901364326477,nan,0.16070168408457586,2.87393203753218,0.02685686104382348
GW200208_130117,16,4677,15595165,139.15049743652344,-33.585758209228516,0.2894369959831238,nan,0.15912344144307441,3.033055478975254,0.02834386773007807
GW200208_130117,17,3393,15592429,140.24156188964844,-33.946266174316406,0.29721999168395996,nan,0.15284679773043702,3.1859022767056913,0.029772219254759445
GW200208_130117,18,4768,15595256,139.45433044433594,-33.28697204589844,0.28133299946784973,nan,0.1510930076095846,3.3369952843152757,0.031184181631416216
GW200208_130117,19,3297,15592333,141.40174865722656,-33.78643798828125,0.24130700528621674,nan,0.15017751192023143,3.487172796235507,0.03258758871163797
GW200208_130117,20,4743,15595231,139.4755401611328,-33.66944122314453,0.23805199563503265,nan,0.14975629291504877,3.6369290891505557,0.03398705950521708
GW200208_130117,21,3480,15592516,139.6211700439453,-34.20320129394531,0.2850309908390045,nan,0.14957660219591812,3.786505691346474,0.03538485109114217
GW200208_130117,22,5589,15596077,138.98199462890625,-32.94594192504883,0.29287201166152954,nan,0.14928056976387713,3.935786261110351,0.03677987625747628
GW200208_130117,23,5150,15595638,140.09823608398438,-32.973419189453125,0.2992149889469147,nan,0.1474270465668239,4.083213307677175,0.03815758027136326
GW200208_130117,24,2806,15591842,140.8365936279297,-34.540470123291016,0.2742390036582947,nan,0.14715306852178672,4.230366376198962,0.03953272396364608
GW200208_130117,25,3427,15592463,140.48480224609375,-34.117530822753906,0.2965959906578064,nan,0.1464052048404071,4.376771581039369,0.040900878878634146
GW200208_130117,26,3489,15592525,139.68711853027344,-34.19934844970703,0.28646400570869446,nan,0.14542129747660296,4.522192878515972,0.042259839190895154
GW200208_130117,27,3551,15592587,140.1888427734375,-33.8766975402832,0.2930949926376343,nan,0.14516289873384097,4.6673557772498135,0.04361638476994827
GW200208_130117,28,5032,15595520,139.3612518310547,-32.97905349731445,0.2929770052433014,nan,0.14508293173901643,4.81243870898883,0.04497218305837653
GW200208_130117,29,2665,15591701,141.07986450195312,-34.76604461669922,0.26487401127815247,nan,0.14281448742942618,4.955253196418256,0.04630678276144764
GW200208_130117,30,3417,15592453,140.47457885742188,-34.32379150390625,0.26284700632095337,nan,0.14251049696706655,5.097763693385322,0.04763854167722815
GW200208_130117,31,3529,15592565,139.52713012695312,-34.043548583984375,0.28454500436782837,nan,0.1422600838786069,5.240023777263929,0.04896796048564617
GW200208_130117,32,4635,15595123,139.40093994140625,-33.929622650146484,0.27664101123809814,nan,0.14163402264371577,5.381657799907645,0.050291528759197394
GW200208_130117,33,3511,15592547,139.39804077148438,-34.156959533691406,0.26572999358177185,nan,0.14102203303717975,5.522679832944824,0.051609377997083074
GW200208_130117,34,3538,15592574,140.1864471435547,-33.84247589111328,0.28162699937820435,nan,0.13881822238353422,5.661498055328359,0.05290663265036519
GW200208_130117,35,4659,15595147,139.01040649414062,-33.79227828979492,0.2824360132217407,nan,0.13671960967226673,5.798217665000625,0.05418427579257632
GW200208_130117,36,4653,15595141,139.09719848632812,-33.925270080566406,0.27181801199913025,nan,0.1364331657774025,5.934650830778028,0.055459242119963455
GW200208_130117,37,3447,15592483,140.0716552734375,-34.31920623779297,0.2782230079174042,nan,0.13553807976268023,6.0701889105407085,0.056725843879084636
GW200208_130117,38,5471,15595959,139.97767639160156,-32.56389236450195,0.2491610050201416,nan,0.13533997425005367,6.205528884790763,0.05799059434452345
GW200208_130117,39,4632,15595120,139.4059295654297,-33.94710159301758,0.2796739935874939,nan,0.13507275176688885,6.340601636557651,0.05925284761900423
GW200208_130117,40,4953,15595441,139.34486389160156,-33.30160903930664,0.28879299759864807,nan,0.13468383067625792,6.47528546723391,0.06051146643047346
GW200208_130117,41,2607,15591643,140.88427734375,-35.032249450683594,0.2496349960565567,nan,0.13086031107289922,6.606145778306809,0.061734354496279724
GW200208_130117,42,2554,15591590,140.8485870361328,-35.294246673583984,0.26501399278640747,nan,0.13064390209619328,6.736789680403002,0.06295522022274737
GW200208_130117,43,4767,15595255,139.4112548828125,-33.41136932373047,0.2811099886894226,nan,0.1295965314432149,6.866386211846217,0.06416629828279803
GW200208_130117,44,4792,15595280,139.55990600585938,-33.51448059082031,0.28912898898124695,nan,0.1284327811974429,6.99481899304366,0.06536650111050768
GW200208_130117,45,5031,15595519,139.1893768310547,-33.06309127807617,0.29553699493408203,nan,0.1282357569260636,7.123054749969723,0.0665648627487217
GW200208_130117,46,5157,15595645,140.24298095703125,-32.99690246582031,0.2983880043029785,nan,0.1272714392969954,7.250326189266719,0.06775421285004905
GW200208_130117,47,2094,15589971,138.81344604492188,-34.093746185302734,0.28862500190734863,nan,0.12715898296551664,7.377485172232236,0.06894251204828317
GW200208_130117,48,3473,15592509,139.42037963867188,-34.391136169433594,0.25500598549842834,nan,0.1266855577493204,7.504170729981556,0.07012638709344754
GW200208_130117,49,4877,15595365,138.9011993408203,-33.69826126098633,0.28265899419784546,nan,0.12612598810182502,7.630296718083382,0.07130503296684626
GW200208_130117,50,4782,15595270,139.53695678710938,-33.834476470947266,0.28205201029777527,nan,0.12581847679907515,7.756115194882457,0.0724808051507424
GW200208_130117,51,4769,15595257,139.33685302734375,-33.41115951538086,0.2726939916610718,nan,0.12510857200295758,7.881223766885415,0.07364994328267953
GW200208_130117,52,5000,15595488,139.06175231933594,-33.11084747314453,0.2723970115184784,nan,0.12349477470963648,8.004718541595052,0.07480400049791659
GW200208_130117,53,4745,15595233,139.452880859375,-33.54563522338867,0.2873300015926361,nan,0.12243303444606643,8.127151576041118,0.07594813576289496
GW200208_130117,54,4957,15595445,139.1725311279297,-33.18705368041992,0.2825300097465515,nan,0.12183711565823824,8.248988691699356,0.07708670217381931
GW200208_130117,55,2493,15591529,140.6894989013672,-35.02275466918945,0.24082200229167938,nan,0.12164809818272182,8.370636789882077,0.07822350221866106
GW200208_130117,56,4985,15595473,138.9064178466797,-33.184410095214844,0.23522600531578064,nan,0.1214242852386691,8.492061075120747,0.07935821073417655
GW200208_130117,57,5929,15596417,138.42811584472656,-32.5977668762207,0.28297701478004456,nan,0.12057380754301177,8.612634882663759,0.08048497154564237
GW200208_130117,58,4776,15595264,139.411865234375,-33.43837356567383,0.278423011302948,nan,0.11942778677641655,8.732062669440175,0.0816010228065413
GW200208_130117,59,5322,15595810,139.81280517578125,-32.8355598449707,0.28286799788475037,nan,0.1191910757085424,8.851253745148718,0.08271486200529873
GW200208_130117,60,5403,15595891,139.8362579345703,-32.2796516418457,0.2572700083255768,nan,0.11844392465192506,8.969697669800643,0.08382171908623144
