radius_arcsec,k,delta_lpd_total,delta_lpd_data,median_frac_weight_matched_total
3.0,200,3.6291020471071533,2.6314017944392845,0.0026775908047333495
3.0,1000,3.6306386590179613,2.6328868929774956,0.0076397876886296874
3.0,5000,3.6342857354549096,2.636766836311324,0.011071840308550032
3.0,20000,3.6433869815374464,2.6463295592928375,0.03764948985475143
10.0,200,3.6294168867067356,2.6316995994307604,0.003155015486471843
10.0,1000,3.6310332845375797,2.633280085607282,0.007849235583337515
10.0,5000,3.6349109279946106,2.6374137273014355,0.013186936034127673
10.0,20000,3.6445199631088485,2.6474787651947054,0.04098084388707889
30.0,200,3.6297006962604996,2.631984653102535,0.003913329423527426
30.0,1000,3.6317604076839984,2.633992648741412,0.008262096331301849
30.0,5000,3.636830173187036,2.639369728310186,0.01738776170754388
30.0,20000,3.649652947797051,2.6526081519812976,0.05236972376288862
