event,rank,gal_index_in_event,catalog_id,ra_deg,dec_deg,catalog_z,catalog_z_err,weight_proxy,cumulative_weight_proxy,cumulative_weight_frac
GW200219_094415,1,362079,14215466,23.085599899291992,-28.783920288085938,0.2011578381061554,nan,0.016562347467160964,0.016562347467160964,0.000571863705781698
GW200219_094415,2,324267,14153867,25.998462677001953,-32.85807418823242,0.2929585576057434,nan,0.012390708170109238,0.0289530556372702,0.0009996893087324639
GW200219_094415,3,367104,14220491,21.673200607299805,-26.636249542236328,0.28718334436416626,nan,0.010989686131529766,0.039942741768799965,0.001379140509657644
GW200219_094415,4,317681,14147281,23.63450050354004,-31.556690216064453,0.2516021728515625,nan,0.009097316078644516,0.04904005784744448,0.0016932520748035992
GW200219_094415,5,352337,14198817,18.910400390625,-28.172239303588867,0.20871827006340027,nan,0.008965298963081998,0.05800535681052648,0.0020028053611740437
GW200219_094415,6,358171,14211558,18.604299545288086,-26.291099548339844,0.2011578381061554,nan,0.008885933300897191,0.06689129011142367,0.0023096183148845913
GW200219_094415,7,374896,14231992,19.105899810791016,-26.49250030517578,0.2883286774158478,nan,0.008872497039174589,0.07576378715059826,0.0026159673421839963
GW200219_094415,8,373976,14231072,20.065000534057617,-26.66670036315918,0.2976554036140442,nan,0.008833832042859457,0.08459761919345771,0.0029209813468894933
GW200219_094415,9,366396,14219783,22.05579948425293,-26.99970054626465,0.2929585576057434,nan,0.008729672642256405,0.09332729183571412,0.003222398942273247
GW200219_094415,10,352731,14199211,19.179048538208008,-28.09112548828125,0.21879999339580536,nan,0.008708167141878153,0.10203545897759227,0.0035230739970741882
GW200219_094415,11,374748,14231844,20.585039138793945,-25.696449279785156,0.21209999918937683,nan,0.008186868658786112,0.11022232763637838,0.0038057496901934313
GW200219_094415,12,375177,14232273,19.009899139404297,-25.30940055847168,0.24262529611587524,nan,0.007941122795150935,0.11816345043152932,0.004079940285379693
GW200219_094415,13,375298,14232394,19.607500076293945,-25.65220069885254,0.2003333866596222,nan,0.007698365439519814,0.12586181587104914,0.004345748969651922
GW200219_094415,14,368638,14222025,21.848400115966797,-26.082799911499023,0.2003333866596222,nan,0.006711603176248316,0.13257341904729744,0.0045774867877188125
GW200219_094415,15,365685,14219072,21.604778289794922,-28.114824295043945,0.2547999918460846,nan,0.006650454170028513,0.13922387321732596,0.004807113256692765
GW200219_094415,16,367223,14220610,20.749263763427734,-26.66864585876465,0.20239999890327454,nan,0.006629741184671947,0.1458536144019979,0.005036024548993405
GW200219_094415,17,374366,14231462,20.637462615966797,-26.222684860229492,0.2112964391708374,nan,0.006557388678337121,0.15241100308033503,0.0052624376584442245
GW200219_094415,18,352473,14198953,19.544301986694336,-28.477554321289062,0.22100012004375458,nan,0.006480450604486063,0.1588914536848211,0.005486194254854522
GW200219_094415,19,377938,14235034,17.9005069732666,-25.45507049560547,0.22859999537467957,nan,0.006394698745871412,0.16528615243069253,0.005706990016410806
GW200219_094415,20,366627,14220014,20.6919002532959,-27.45210075378418,0.29412657022476196,nan,0.0063197320907396526,0.1716058845214322,0.005925197333949798
GW200219_094415,21,365918,14219305,20.93910026550293,-27.720230102539062,0.2095746397972107,nan,0.006242176321392571,0.17784806084282476,0.006140726810696503
GW200219_094415,22,368778,14222165,22.424789428710938,-25.89332389831543,0.20819999277591705,nan,0.006227948214215165,0.1840760090570399,0.00635576502024133
GW200219_094415,23,365602,14218989,21.008800506591797,-28.416549682617188,0.2377648502588272,nan,0.005954106905779467,0.19003011596281938,0.006561348054078205
GW200219_094415,24,357687,14211074,17.28550148010254,-27.4366397857666,0.2112964391708374,nan,0.005901780575610873,0.19593189653843024,0.00676512436763346
GW200219_094415,25,375293,14232389,19.61079978942871,-25.601110458374023,0.22924137115478516,nan,0.005884160196370643,0.20181605673480088,0.006968292285827515
