event,radius_arcsec,k,k_used,n_matched,frac_gal_matched,weight_matched,weight_topk,weight_total,frac_weight_matched_topk,frac_weight_matched_total,control
GW200219_094415,10.0,5000,5000,941,0.1882,2.0321219648135758,7.655148935334509,28.962053894505136,0.2654581879437696,0.07016498112377047,true
GW191230_180458,10.0,5000,5000,192,0.0384,0.10275071512868629,1.4227231336255173,11.822058517050435,0.07222116004176246,0.008691440241180794,true
GW200308_173609,10.0,20000,20000,1247,0.06235,0.019727340443386112,0.29777197748631556,0.29777197748631556,0.06624982179289421,0.06624982179289421,true
GW200220_061928,10.0,20000,20000,1664,0.0832,0.12725307576517106,1.6113936945266558,3.1051843665252945,0.07897081650338184,0.04098084388707889,true
GW200208_130117,10.0,20000,11255,183,0.01625944024877832,0.0029262860462860515,107.00923063356746,107.00923063356746,2.7346108639044008e-05,2.7346108639044008e-05,true
GW200219_094415,10.0,20000,20000,1588,0.0794,2.43773210478569,16.73584011084747,28.962053894505136,0.1456593806250368,0.08416986287178313,true
GW191230_180458,10.0,20000,20000,280,0.014,0.1179718558203288,4.047754875819917,11.822058517050435,0.02914500987326519,0.00997896057189898,true
GW200308_173609,30.0,200,200,12,0.06,0.0010762484652091257,0.017171999996227677,0.29777197748631556,0.0626746136411341,0.003614337636114822,true
GW200220_061928,30.0,200,200,26,0.13,0.012151609347000807,0.08551970071403917,3.1051843665252945,0.14209134556765307,0.003913329423527426,true
GW200208_130117,30.0,200,200,0,0.0,0.0,22.894906536989634,107.00923063356746,0.0,0.0,true
GW200219_094415,30.0,200,200,178,0.89,0.7734646734579095,0.867284692199999,28.962053894505136,0.8918232737348323,0.02670614025770652,true
GW191230_180458,30.0,200,200,112,0.56,0.07825515147076793,0.14215075165747582,11.822058517050435,0.5505081792274324,0.006619418382839501,true
GW200308_173609,30.0,1000,1000,63,0.063,0.0035662923271933002,0.056446490024904435,0.29777197748631556,0.06318005469640073,0.011976588117185046,true
GW200220_061928,30.0,1000,1000,89,0.089,0.022306586316533615,0.21543247199848725,3.1051843665252945,0.10354328718230671,0.007183659223910983,true
GW200208_130117,30.0,1000,1000,2,0.002,0.09571440025325398,65.11777519579688,107.00923063356746,0.0014698659462099068,0.0008944499431176134,true
GW200219_094415,30.0,1000,1000,475,0.475,1.4417324566418563,2.5809111163214116,28.962053894505136,0.5586137575697556,0.04978004881467992,true
GW191230_180458,30.0,1000,1000,164,0.164,0.09767498630215818,0.42152861407953995,11.822058517050435,0.2317161469938254,0.008262096331301849,true
GW200308_173609,30.0,5000,5000,369,0.0738,0.011533574301664306,0.1632609487257954,0.29777197748631556,0.07064502804669778,0.03873290696803175,true
GW200220_061928,30.0,5000,5000,389,0.0778,0.05399220582313241,0.644469895457261,3.1051843665252945,0.08377770040728456,0.01738776170754388,true
GW200208_130117,30.0,5000,5000,10,0.002,0.14852134872586384,106.84455029185061,107.00923063356746,0.0013900694824412778,0.0013879302546753807,true
GW200219_094415,30.0,5000,5000,1069,0.2138,2.2160395687211607,7.655148935334509,28.962053894505136,0.28948353421216955,0.07651527674083922,true
GW191230_180458,30.0,5000,5000,234,0.0468,0.11525251791826498,1.4227231336255173,11.822058517050435,0.08100839523468466,0.009748938203278332,true
GW200308_173609,30.0,20000,20000,1614,0.0807,0.02561865184006201,0.29777197748631556,0.29777197748631556,0.08603446186013035,0.08603446186013035,true
GW200220_061928,30.0,20000,20000,2114,0.1057,0.16261764750776997,1.6113936945266558,3.1051843665252945,0.10091739098900881,0.05236972376288862,true
GW200208_130117,30.0,20000,11255,209,0.018569524655708575,0.14882790666515336,107.00923063356746,107.00923063356746,0.0013907950350076426,0.0013907950350076426,true
GW200219_094415,30.0,20000,20000,2207,0.11035,2.918140216197745,16.73584011084747,28.962053894505136,0.17436472844326048,0.10075736433704356,true
GW191230_180458,30.0,20000,20000,460,0.023,0.15456935926854304,4.047754875819917,11.822058517050435,0.03818644261091361,0.013074656925916452,true
GW200308_173609,60.0,200,200,17,0.085,0.001638936422934139,0.017171999996227677,0.29777197748631556,0.09544237265864072,0.005503998182668005,true
GW200220_061928,60.0,200,200,32,0.16,0.016024396964313355,0.08551970071403917,3.1051843665252945,0.18737667263237678,0.005160529963070978,true
GW200208_130117,60.0,200,200,0,0.0,0.0,22.894906536989634,107.00923063356746,0.0,0.0,true
GW200219_094415,60.0,200,200,179,0.895,0.7770975907564838,0.867284692199999,28.962053894505136,0.8960121142980836,0.02683157740079752,true
GW191230_180458,60.0,200,200,114,0.57,0.07989331601261322,0.14215075165747582,11.822058517050435,0.5620323148562935,0.006757986851222789,true
GW200308_173609,60.0,1000,1000,91,0.091,0.005256275154300946,0.056446490024904435,0.29777197748631556,0.09311961030671445,0.017652014130653055,true
GW200220_061928,60.0,1000,1000,120,0.12,0.03021794135830479,0.21543247199848725,3.1051843665252945,0.14026641888283664,0.009731448375195418,true
GW200208_130117,60.0,1000,1000,5,0.005,0.2541086549295398,65.11777519579688,107.00923063356746,0.003902293255036478,0.002374642387624354,true
